date,expression,meaning,explanation,example,example_translation,tip,CEFR_level,topic
2026-06-23,Απαγορεύεται αυστηρά το άναμμα φωτιάς στο δάσος.,Lighting a fire in the forest is strictly forbidden.,"A critical safety rule, especially during the Greek summer.","Πρέπει να προσέχουμε, απαγορεύεται αυστηρά το άναμμα φωτιάς στο δάσος.","We must be careful, lighting a fire in the forest is strictly forbidden.",,B2,Camping
2026-06-23,Άλλαξε ο Μανωλιός και έβαλε τα ρούχα του αλλιώς,"Same old story / Same type of partner, different face",Literally 'Manolios changed and put his clothes on differently'. Used when a friend dates a new person who has the exact same flaws as their ex.,Πάλι με τοξικό τα έφτιαξε; Άλλαξε ο Μανωλιός και έβαλε τα ρούχα του αλλιώς.,"She hooked up with a toxic guy again? Same old story, different packaging.",A proverb used to mock lack of personal growth in dating choices.,C2,Romantic gossip
2026-06-24,Διάστημα,Space / Outer space,The physical universe beyond the earth's atmosphere.,Ο πρώτος άνθρωπος που ταξίδεψε στο διάστημα ήταν ο Γιούρι Γκαγκάριν.,The first human to travel into space was Yuri Gagarin.,,A2,Space and Astronomy
2026-06-24,Τα νερά στο Σπήλαιο της Μελισσάνης είναι καταγάλανα.,The waters in Melissani Cave are deep blue.,Praising the famous underground lake in Kefalonia.,"Όταν μπαίνει ο ήλιος, τα νερά στο Σπήλαιο της Μελισσάνης είναι καταγάλανα.","When the sun comes in, the waters in Melissani Cave are deep blue.",,B1,Sightseeing in Greece
2026-06-24,Στο μάτι του κυκλώνα,In the eye of the storm,Used to describe someone or something that is at the center of a major controversy or crisis.,Η εταιρεία βρίσκεται στο μάτι του κυκλώνα μετά το σκάνδαλο.,The company is in the eye of the storm following the scandal.,Great for describing a person or entity facing intense public scrutiny.,C1,The News
2026-06-25,Έσκασα,I'm stuffed / I burst,Saying you have eaten too much.,"Ήταν τέλειο το φαγητό, αλλά έσκασα.","The food was perfect, but I'm stuffed.",Very informal and common after a big Greek meal.,A2,Food and Eating
2026-06-25,Σύμπαν,Universe,All existing matter and space considered as a whole.,Το σύμπαν διαρκώς διαστέλλεται.,The universe is constantly expanding.,,B1,Space and Astronomy
2026-06-25,Βγήκαν οι βάσεις εισαγωγής για τις σχολές.,The admission thresholds for the faculties are out.,"Βάσεις' are the minimum required points to enter a specific university department, announced every summer.","Όλοι περιμένουν με αγωνία, βγήκαν οι βάσεις εισαγωγής για τις σχολές.","Everyone is waiting anxiously, the admission thresholds for the faculties are out.",,C1,School and Education
2026-06-26,Κάθε λουλούδι έχει τη θέση του στον ήλιο.,Every flower has its place in the sun.,"From a poem by Yannis Ritsos, this phrase speaks to the idea that every being in nature has a right to exist and to flourish. It's a metaphor for universal acceptance and the right to happiness. ","Μην ανησυχείς, θα βρεις τον δρόμο σου. Κάθε λουλούδι έχει τη θέση του στον ήλιο.","Don't worry, you will find your way. Every flower has its place in the sun.","A comforting and optimistic phrase to encourage someone, using a simple image from nature.",A2,Poetry
2026-06-26,Είμαι σε άδεια,To be on leave / on vacation,Taking approved time off from work.,"Ο συνάδελφός μου λείπει, είναι σε άδεια αυτή την εβδομάδα.","My colleague is away, he is on leave this week.",,B1,Office and Work
2026-06-26,Ταινία ενηλικίωσης,Coming-of-age film,A genre focusing on the psychological and moral growth of the protagonist.,Είναι μια τρυφερή ταινία ενηλικίωσης με φόντο την Ελλάδα του '80.,It is a tender coming-of-age film set against the backdrop of 80s Greece.,,C1,Movies and Cinema
2026-06-27,Βάλε καπέλο και γυαλιά ηλίου για προστασία.,Put on a hat and sunglasses for protection.,Standard sun safety advice.,"Ο ήλιος είναι επικίνδυνος, βάλε καπέλο και γυαλιά ηλίου για προστασία.","The sun is dangerous, put on a hat and sunglasses for protection.",,A1,Summer and Beach
2026-06-27,Κομήτης,Comet,"A celestial object consisting of a nucleus of ice and dust and, when near the sun, a 'tail' of gas and dust particles.",Ο κομήτης του Χάλεϊ είναι ορατός από τη Γη κάθε 75 χρόνια.,Halley's comet is visible from Earth every 75 years.,,B2,Space and Astronomy
2026-06-27,Ρίχνει λάδι στη φωτιά,Adds fuel to the fire,Used when a statement or action makes a bad situation even worse.,Η νέα δήλωση του προέδρου ρίχνει λάδι στη φωτιά της αντιπαράθεσης.,The president's new statement adds fuel to the fire of the controversy.,A universal idiom that translates almost directly and is heavily used by commentators.,C1,The News
2026-06-28,Κλείσε το φερμουάρ της σκηνής για να μην μπουν ζουζούνια.,Close the tent zipper so bugs don't get in.,Crucial advice for keeping the tent bug-free.,"Μπαίνεις και βγαίνεις, κλείσε το φερμουάρ της σκηνής για να μην μπουν ζουζούνια!","You keep going in and out, close the tent zipper so bugs don't get in!",,A2,Camping
2026-06-28,Κλείνω τον υπολογιστή,To shut down the computer,Turning off the PC at the end of the day.,"Πριν φύγεις, βεβαιώσου ότι έκλεισες τον υπολογιστή σου.","Before you leave, make sure you shut down your computer.",,B1,Office and Work
2026-06-28,Εικονικά τιμολόγια,Fictitious invoices / Fake invoices,"Invoices issued for transactions that never took place, usually for tax fraud.",Συνελήφθησαν επιχειρηματίες για έκδοση και λήψη εικονικών τιμολογίων.,Businessmen were arrested for issuing and receiving fictitious invoices.,,C2,Business and Tax
2026-06-29,"Τον λογαριασμό, παρακαλώ","The bill, please",Asking to pay at the end of a meal.,"Τελειώσαμε, μας φέρνετε τον λογαριασμό, παρακαλώ;","We are finished, can you bring us the bill, please?",You can also just make a writing gesture in the air.,A1,Food and Eating
2026-06-29,Άνοιξε η καρδιά μου,My heart is warmed / I feel great joy,Literally 'my heart opened'. Used when something brings relief and pure joy.,Είδα τα παιδιά να παίζουν και άνοιξε η καρδιά μου.,I saw the children playing and my heart warmed.,Often used when seeing something beautiful or feeling relieved.,B2,Yes and no
2026-06-29,Κάνει την πάπια,He/she is playing the duck,Pretending not to know something to avoid responsibility. ,"Του μίλησα για το πρόβλημα, αλλά έκανε την πάπια.","I talked to him about the problem, but he played the duck.",,C1,Colloquial expressions
2026-06-30,Πόσο κάνει;,How much is it?,Used to ask for the price of something. ,"Συγγνώμη, πόσο κάνει αυτό;","Excuse me, how much is this?",Also 'Πόσο κοστίζει;' (Poso kostizei?).,A2,Shopping
2026-06-30,Αστρονομία,Astronomy,"The branch of science that deals with celestial objects, space, and the physical universe.",Η αστρονομία είναι μια από τις αρχαιότερες επιστήμες.,Astronomy is one of the oldest sciences.,,B2,Space and Astronomy
2026-06-30,Επιχειρηματικό σχέδιο,Business plan,"A formal written document containing business goals, the methods on how these goals can be attained, and the time frame.",Οι επενδυτές ζήτησαν να δουν ένα λεπτομερές επιχειρηματικό σχέδιο πριν χρηματοδοτήσουν την startup.,The investors asked to see a detailed business plan before funding the startup.,,C1,Business and Tax
2026-07-01,Μπορούμε να δούμε τον κατάλογο;,Can we see the menu?,Use this phrase right after you are seated to ask for the menu (also called 'το μενού').,"Καλησπέρα, μπορούμε να δούμε τον κατάλογο, παρακαλώ;","Good evening, can we see the menu, please?","In many traditional tavernas, the waiter might just list the available dishes of the day instead of handing you a printed menu.",A2,Eating and drinking
